Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Shared Services Norse (NNE),431050,Environmental Services,A29100,12/01/2026,21043891,"640,301.42",NORWICH CITY SERVICES LTD
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,12/01/2026,22010104,559.43,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,12/01/2026,22010138,663.3,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,12/01/2026,22010101,"1,204.23",REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,12/01/2026,22010106,"3,817.89",REDACTED PERSONAL DATA
Norwich City Council,Subscriptions (non staff),515020,Council Tax Admin,A45700,12/01/2026,21043135,"1,430.00",IRRV SERVICES LTD
Norwich City Council,Vehicles/Plant Eqpmt/Machinery,X90000,"Customers, IT & Digital GF Capital",C12300,12/01/2026,21043139,524,CCS MEDIA LTD
Norwich City Council,Vehicles/Plant Eqpmt/Machinery,X90000,"Customers, IT & Digital GF Capital",C12300,12/01/2026,21043141,733,CCS MEDIA LTD
Norwich City Council,Vehicles/Plant Eqpmt/Machinery,X90000,"Customers, IT & Digital GF Capital",C12300,12/01/2026,21043179,"22,476.00",CCS MEDIA LTD
Norwich City Council,Water Hygiene upgrades,X95010,Housing & Community Safety HRA Capital,C11860,12/01/2026,21042887,611,IMPACT RENEWABLES LTD
Norwich City Council,Agency Supply Staff,321025,IT Infrastructure,A11300,13/01/2026,21043160,"1,800.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,640235,Strategic Asset Management,A11300,13/01/2026,21044843,"8,416.53",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Environmental Improvements,710120,Neighbourhood Services,A23700,13/01/2026,21043086,539.11,NORWICH CITY SERVICES LTD
Norwich City Council,Environmental Improvements,710120,Neighbourhood Services,A23700,13/01/2026,21043088,"2,217.25",NORWICH CITY SERVICES LTD
Norwich City Council,IT Services - Contract Charge,321025,IT Infrastructure,A50400,13/01/2026,21044194,"2,660.35",VODAFONE LIMITED
Norwich City Council,Legal Expenses,521010,Legal Services,A47600,13/01/2026,21043098,"1,845.98",NORFOLK COUNTY COUNCIL
Norwich City Council,Legal Expenses,521010,Legal Services,A47600,13/01/2026,21043098,"120,561.23",NORFOLK COUNTY COUNCIL
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,13/01/2026,21043601,"76,500.00",Place Partners Ltd
Norwich City Council,Professional Advice/Fees,410010,Private Sector Housing,A51300,13/01/2026,21043760,"27,500.00",METASTREET LTD
Norwich City Council,Water Charges Metered,290000,City Hall,A30400,13/01/2026,21044508,"1,419.37",ANGLIAN WATER BUSINESS (WAVE)
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,13/01/2026,21043215,525,DUCTCLEAN (UK) LIMITED
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,13/01/2026,21043211,"4,653.38",DUCTCLEAN (UK) LIMITED
Norwich City Council,Agency Supply Staff,515030,Operational Finance,A11300,14/01/2026,21043472,723.54,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,14/01/2026,21044502,750,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,14/01/2026,21043473,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,516050,Revs & bens admin,A11300,14/01/2026,21044150,"1,175.63",REDACTED COMMERCIAL CONFIDENTIALITY
