Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Fire Prevention Works,220000,Investment Properties,A24800,29/01/2026,21044841,"33,900.56",BORDER PROJECTS LIMITED
Norwich City Council,General Repairs & Mtce,410045,Syrian Refugee Programme,A20300,29/01/2026,21044767,"2,733.60",ALEC MOTT T/A NOBBY'S SITE SERVICES
Norwich City Council,General Repairs & Mtce,410045,Syrian Refugee Programme,A20300,29/01/2026,21044484,"3,706.54",ALEC MOTT T/A NOBBY'S SITE SERVICES
Norwich City Council,General Repairs & Mtce,410045,Syrian Refugee Programme,A20300,29/01/2026,21044765,"4,348.89",ALEC MOTT T/A NOBBY'S SITE SERVICES
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,29/01/2026,21044406,"4,205.00",NORFOLK & SUFFOLK ROLLER SHUTTER DOORS LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X95080,Environment Services HRA Capital,C10100,29/01/2026,21044373,"6,900.00",RED MASON CREATIVE DESIGN
Norwich City Council,Professional Advice/Fees,110000,Livestock Markets - Group,A51300,29/01/2026,21044786,"5,833.34",OXBURY & COMPANY
Norwich City Council,Windows,X95010,Housing & Community Safety HRA Capital,C11000,29/01/2026,21044375,"189,092.70",A & B GLASS COMPANY LTD T/A ASSET FINELINE
Norwich City Council,Agency Supply Staff,515030,Operational Finance,A11300,30/01/2026,21044535,977.93,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,620046,East Norwich Programme Mngmnt,A11300,30/01/2026,21044528,"6,900.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Environmental Improvements,710120,Neighbourhood Services,A23700,30/01/2026,21044486,520.84,NORWICH CITY SERVICES LTD
Norwich City Council,Fire Prevention Works,730020,HRA Repairs,A24800,30/01/2026,21044885,"7,576.16",BELL GROUP LIMITED
Norwich City Council,Insurance - Premiums,220000,Investment Properties,A29600,30/01/2026,21045013,"3,176.07",ARTHUR J GALLAGHER INSURANCE BROKERS LTD
Norwich City Council,Members development costs,520010,Members Expenses,A10850,30/01/2026,21044479,850,FIFIELD TRAINING LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,30/01/2026,21044587,"3,740.00",KINGS & DUNNE ARCHITECTS LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90070,Planning & Regulatory Services GF Capital,C10100,30/01/2026,21044559,"20,468.13",AGA GROUP ENVIRO-FIX LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,30/01/2026,21044478,"27,570.00",MARK FITZSIMMONS ASSOCIATES LIMITED
Norwich City Council,New Constructn/Convrsn/Renovtn,X90070,Planning & Regulatory Services GF Capital,C10100,30/01/2026,21044559,"69,217.95",AGA GROUP ENVIRO-FIX LTD
Norwich City Council,Other Hired & Contracting Services,431080,Integrated Waste Management,A51200,30/01/2026,21044543,"1,427.28",TMA BARK SUPPLIES LIMITED
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,30/01/2026,21044481,"1,516.67",NORWICH CITY SERVICES LTD
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,30/01/2026,21044483,"3,508.33",NORWICH CITY SERVICES LTD
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,30/01/2026,21044480,"3,848.00",NORWICH CITY SERVICES LTD
Norwich City Council,Professional Advice/Fees,530020,Personnel Services,A51300,30/01/2026,21044525,"1,750.00",PENNA PLC
Norwich City Council,Professional Advice/Fees,530020,Personnel Services,A51300,30/01/2026,21044524,"2,625.00",PENNA PLC
Norwich City Council,Stairlift repair/servicing,730020,HRA Repairs,A20600,30/01/2026,21045038,"1,481.25",STANNAH LIFTS LTD
Norwich City Council,Subscriptions (non staff),160000,Open Spaces,A45700,30/01/2026,21044670,524,KEEP BRITAIN TIDY
Norwich City Council,Vehicles/Plant Eqpmt/Machinery,X90050,Environment Services GF Capital,C12300,30/01/2026,21044465,"31,437.97",SPLASH PADS ENTERPRISES LIMITED T/A THE SPLASH
Norwich City Council,Fees - Translations,550010,Customer Contact Team,A48700,31/01/2026,21044511,"1,581.29",TRANSLATE PLUS LIMITED
Norwich City Council,Handyperson,410130,Housing Improvement Agency Team,A25850,31/01/2026,21045138,"1,624.50",NORSE EASTERN LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,31/01/2026,21044840,"2,021.00",COOKS BLINDS AND SHUTTERS LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,31/01/2026,21044783,"3,850.00",GREYFRIARS COST MANAGEMENT LIMITED
Norwich City Council,New Constructn/Convrsn/Renovtn,X95060,Housing Delivery HRA Capital,C10100,31/01/2026,21044898,"5,750.00",RICHARD UTTING ASSOCIATES LLP
Norwich City Council,New Constructn/Convrsn/Renovtn,X95060,Housing Delivery HRA Capital,C10100,31/01/2026,21044897,"5,975.00",RICHARD UTTING ASSOCIATES LLP
Norwich City Council,Other Hired & Contracting Services,431080,Integrated Waste Management,A51200,31/01/2026,21044549,"93,489.50",NORSE ENVIRONMENTAL WASTE SERVICES LTD
Norwich City Council,Postages,550040,Customer Support Team,A40800,31/01/2026,21044619,"2,467.35",ADARE SEC LIMITED
Norwich City Council,Postages,550040,Customer Support Team,A40800,31/01/2026,21044623,"4,797.88",ADARE SEC LIMITED
Norwich City Council,Postages,550040,Customer Support Team,A40800,31/01/2026,21044621,"14,724.19",ADARE SEC LIMITED
Norwich City Council,Professional Advice/Fees,110000,Livestock Markets - Group,A51300,31/01/2026,21044632,"3,650.00",BIDWELLS
Norwich City Council,Professional Advice/Fees,110000,Livestock Markets - Group,A51300,31/01/2026,21044442,"10,500.00",CHAPLIN FARRANT LTD
Norwich City Council,Professional Advice/Fees,100000,Markets,A51300,31/01/2026,21044774,"24,133.50",INNER CIRCLE CONSULTING LIMITED
Norwich City Council,Professional Advice/Fees,100000,Markets,A51300,31/01/2026,21044775,"30,050.00",INNER CIRCLE CONSULTING LIMITED
Norwich City Council,Projects,410135,Interact Team,A49300,31/01/2026,21044908,"4,539.68",NORFOLK CITIZENS ADVICE BUREAU
Norwich City Council,Promotions and Events,315010,Civic Expenses,A40700,31/01/2026,21044561,645,DISCREET SECURITY LIMITED
Norwich City Council,Staff Training Expenses,644010,On & Off Street Enforcement,A10800,31/01/2026,21044545,"1,590.00",MAYBO LTD
Norwich City Council,Taxi Contract,540010,Procurement Team,A31300,31/01/2026,21044662,994.62,ABC TAXIS (EA) LTD T/A VEEZU
Norwich City Council,Trade Waste,100000,Markets,A28100,31/01/2026,21044776,"4,166.10",M W WHITE LTD
